20MICRONS.NS,20 Microns Limited 
21STCENMGM.NS,21st Century Management Services Limited
3IINFOLTD.NS,3i Infotech Limited
3MINDIA.NS,3M India Limited
5PAISA.NS,5Paisa Capital Limited
A2ZINFRA.NS,A2Z Infra Engineering Limited 
AAATECH.NS,AAA Technologies Limited 
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited
AARON.NS,Aaron Industries Limited
AARTIDRUGS.NS,Aarti Drugs Limited
AARTISURF.NS,Aarti Surfactants Limited
AARVEEDEN.NS,Aarvee Denims & Exports Limited
AARVI.NS,Aarvi Encon Limited
AAVAS.NS,Aavas Financiers Limited
ABBOTINDIA.NS,Abbott India Limited
ABCAPITAL.NS,Aditya Birla Capital Limited
ABFRL.NS,Aditya Birla Fashion and Retail Limited
ABMINTLLTD.NS,ABM International Limited
ACC.NS,ACC Limited
ACCELYA.NS,Accelya Solutions India Limited
ACEINTEG.NS,Ace Integrated Solutions Limited
ADANIGREEN.NS,Adani Green Energy Limited
ADANIPOWER.NS,Adani Power Limited
ADANITRANS.NS,Adani Transmission Limited
ADFFOODS.NS,ADF Foods Limited
ADL.NS,Archidply Decor Limited
ADORWELD.NS,Ador Welding Limited
ADROITINFO.NS,Adroit Infotech Limited
AETHER.NS,Aether Industries Limited
AGARIND.NS,Agarwal Industrial Corporation Limited
AGRITECH.NS,Agri-Tech (India) Limited
HARDWYN.NS,Hardwyn India Limited
HARIOMPIPE.NS,Hariom Pipe Industries Limited
HARRMALAYA.NS,Harrisons  Malayalam Limited
HARSHA.NS,Harsha Engineers International Limited
HBSL.NS,HB Stockholdings Limited
HCG.NS,Healthcare Global Enterprises Limited
HDFCLIFE.NS,HDFC Life Insurance Company Limited
HDIL.NS,Housing Development and Infrastructure Limited
HEADSUP.NS,Heads UP Ventures Limited
HECPROJECT.NS,HEC Infra Projects Limited
HEG.NS,HEG Limited
HEIDELBERG.NS,HeidelbergCement India Limited
HGINFRA.NS,H.G. Infra Engineering Limited
HIL.NS,HIL Limited
HILTON.NS,Hilton Metal Forging Limited
HINDCON.NS,Hindcon Chemicals Limited
HINDOILEXP.NS,Hindustan Oil Exploration Company Limited
HINDPETRO.NS,Hindustan Petroleum Corporation Limited
HMVL.NS,Hindustan Media Ventures Limited
HONAUT.NS,Honeywell Automation India Limited
HONDAPOWER.NS,Honda India Power Products Limited
HPAL.NS,HP Adhesives Limited
HPIL.NS,Hindprakash Industries Limited
HPL.NS,HPL Electric & Power Limited
HUBTOWN.NS,Hubtown Limited
HUDCO.NS,Housing & Urban Development Corporation Limited
ICDSLTD.NS,ICDS Limited
ICEMAKE.NS,Ice Make Refrigeration Limited
ICICIGI.NS,ICICI Lombard General Insurance Company Limited
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Limited
ICRA.NS,ICRA Limited
IDBI.NS,IDBI Bank Limited
IDEA.NS,Vodafone Idea Limited
IDFC.NS,IDFC Limited
